Operations, Binarymap ADD, Binarymap GET, Binarymap UPDATE, Hashmap ADD, Hashmap GET, Hashmap UPDATE, Linearmap ADD, Linearmap GET, Linearmap UPDATE
10, 0.0054, 0.001, 0.0013, 0.003, 0.0012, 0.0017, 0.0032, 0.0014, 0.0016
15, 0.0064, 0.001, 0.0013, 0.0031, 0.0012, 0.0016, 0.0037, 0.0018, 0.002
25, 0.0084, 0.0011, 0.0014, 0.0032, 0.0012, 0.0016, 0.0052, 0.0025, 0.0027
40, 0.0116, 0.0012, 0.0015, 0.0034, 0.0013, 0.0017, 0.0073, 0.0036, 0.0038
63, 0.0163, 0.0012, 0.0016, 0.0037, 0.0014, 0.0018, 0.0106, 0.0052, 0.0054
100, 0.0239, 0.0013, 0.0017, 0.0042, 0.0015, 0.0019, 0.016, 0.0079, 0.0081
150, 0.0337, 0.0014, 0.0017, 0.0049, 0.0016, 0.0021, 0.023, 0.0114, 0.0116
250, 0.054, 0.0015, 0.0018, 0.0063, 0.002, 0.0024, 0.0371, 0.0187, 0.0188
400, 0.085, 0.0016, 0.0019, 0.0086, 0.0025, 0.0029, 0.0586, 0.0294, 0.0293
630, 0.1304, 0.0017, 0.002, 0.012, 0.0033, 0.0037, 0.0918, 0.0455, 0.0458
1000, 0.2037, 0.0017, 0.0021, 0.017, 0.0044, 0.0048, 0.1438, 0.0718, 0.0719